num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
29,0.931,0.9643,0.8621,0.9259,0.7931,0.8846,0.7931,0.8846,0.8966,0.9455
30,0.9333,0.9655,0.8667,0.9286,0.7667,0.8679,0.7667,0.8679,0.8667,0.9286
31,0.9032,0.9492,0.8387,0.9123,0.7742,0.8727,0.7742,0.8727,0.871,0.931
32,0.875,0.9333,0.8438,0.9153,0.7812,0.8772,0.7812,0.8772,0.875,0.9333
33,0.8788,0.9355,0.8485,0.918,0.7879,0.8814,0.7879,0.8814,0.8788,0.9355
34,0.8824,0.9375,0.8529,0.9206,0.7941,0.8852,0.7941,0.8852,0.8824,0.9375
35,0.8571,0.9231,0.8571,0.9231,0.7714,0.871,0.7714,0.871,0.8857,0.9394
36,0.8611,0.9254,0.8611,0.9254,0.75,0.8571,0.75,0.8571,0.8611,0.9254
37,0.8649,0.9275,0.8649,0.9275,0.7568,0.8615,0.7568,0.8615,0.8649,0.9275
38,0.8421,0.9143,0.8684,0.9296,0.7632,0.8657,0.7632,0.8657,0.8684,0.9296
39,0.8462,0.9167,0.8718,0.9315,0.7692,0.8696,0.7692,0.8696,0.8718,0.9315
40,0.85,0.9189,0.875,0.9333,0.75,0.8571,0.75,0.8571,0.875,0.9333
41,0.8537,0.9211,0.878,0.9351,0.7561,0.8611,0.7561,0.8611,0.878,0.9351
42,0.8571,0.9231,0.881,0.9367,0.7619,0.8649,0.7619,0.8649,0.881,0.9367
43,0.8605,0.925,0.8837,0.9383,0.7674,0.8684,0.7674,0.8684,0.8837,0.9383
44,0.8636,0.9268,0.8864,0.9398,0.7727,0.8718,0.7727,0.8718,0.8864,0.9398
45,0.8667,0.9286,0.8889,0.9412,0.7778,0.875,0.7778,0.875,0.8889,0.9412
46,0.8696,0.9302,0.8913,0.9425,0.7826,0.878,0.7826,0.878,0.8913,0.9425
47,0.8723,0.9318,0.8936,0.9438,0.7872,0.881,0.7872,0.881,0.8936,0.9438
48,0.875,0.9333,0.8958,0.9451,0.7917,0.8837,0.7917,0.8837,0.8958,0.9451
49,0.8776,0.9348,0.8776,0.9348,0.7959,0.8864,0.7959,0.8864,0.898,0.9462
50,0.88,0.9362,0.88,0.9362,0.8,0.8889,0.8,0.8889,0.9,0.9474
51,0.8824,0.9375,0.8824,0.9375,0.7843,0.8791,0.7843,0.8791,0.902,0.9485
52,0.8846,0.9388,0.8846,0.9388,0.7885,0.8817,0.7885,0.8817,0.9038,0.9495
53,0.8868,0.94,0.8868,0.94,0.7925,0.8842,0.7925,0.8842,0.9057,0.9505
54,0.8889,0.9412,0.8889,0.9412,0.7778,0.875,0.7778,0.875,0.9074,0.9515
55,0.8909,0.9423,0.8909,0.9423,0.7818,0.8776,0.7818,0.8776,0.9091,0.9524
56,0.8929,0.9434,0.8929,0.9434,0.7857,0.88,0.7857,0.88,0.9107,0.9533
57,0.8947,0.9444,0.8772,0.9346,0.7895,0.8824,0.7895,0.8824,0.9123,0.9541
58,0.8966,0.9455,0.8793,0.9358,0.7931,0.8846,0.7931,0.8846,0.9138,0.955
59,0.8983,0.9464,0.8814,0.9369,0.7966,0.8868,0.7966,0.8868,0.9153,0.9558
60,0.9,0.9474,0.8833,0.9381,0.8,0.8889,0.8,0.8889,0.9,0.9474
61,0.9016,0.9483,0.8852,0.9391,0.8033,0.8909,0.8033,0.8909,0.8852,0.9391
62,0.9032,0.9492,0.8871,0.9402,0.8065,0.8929,0.8065,0.8929,0.8871,0.9402
63,0.9048,0.95,0.8889,0.9412,0.8095,0.8947,0.8095,0.8947,0.8889,0.9412
64,0.8906,0.9421,0.875,0.9333,0.8125,0.8966,0.8125,0.8966,0.8906,0.9421
65,0.8923,0.9431,0.8769,0.9344,0.8154,0.8983,0.8154,0.8983,0.8769,0.9344
66,0.8939,0.944,0.8788,0.9355,0.8182,0.9,0.8182,0.9,0.8788,0.9355
67,0.8955,0.9449,0.8806,0.9365,0.806,0.8926,0.806,0.8926,0.8806,0.9365
68,0.8971,0.9457,0.8824,0.9375,0.7941,0.8852,0.7941,0.8852,0.8824,0.9375
69,0.8986,0.9466,0.8841,0.9385,0.7971,0.8871,0.7971,0.8871,0.8841,0.9385
70,0.9,0.9474,0.8714,0.9313,0.8,0.8889,0.8,0.8889,0.8857,0.9394
71,0.9014,0.9481,0.8732,0.9323,0.8028,0.8906,0.8028,0.8906,0.8873,0.9403
